Measurement date,Total daily rainfall,Maximum daily air temperature,Minimum daily air temperature
Date ,Rainfall,Air temperature,Air temperature
Units: Year month day,Units: millimetre,Units: degree Celsius,Units: degree Celsius
2012-01-01,1.9,7,4
2012-01-02,4.6,10.9,1.2
2012-01-03,0.3,7.5,1.6
2012-01-04,3.5,8.2,2.4
2012-01-05,0.05,6.4,2.8
2012-01-06,0.05,9.5,0.3
2012-01-07,0.05,7.7,1
2012-01-08,0,9.3,5.1
2012-01-09,0,9,6.8
2012-01-10,0,9.7,3
2012-01-11,2.6,10.6,5.9
2012-01-12,0.05,7.1,4.9
2012-01-13,0,5.1,0.8
2012-01-14,0,4.5,-1.4
2012-01-15,0,2.3,-4
2012-01-16,0.05,3.5,-3.3
2012-01-17,0.3,8,-4
2012-01-18,0.9,9,-0.5
2012-01-19,1.5,6,2.5
2012-01-20,2.3,9.5,1.2
2012-01-21,2.2,7.6,2.1
2012-01-22,0,7.9,4.5
2012-01-23,1.2,5.9,1.6
2012-01-24,2.4,8.8,0.4
2012-01-25,0.6,10,2
2012-01-26,0.7,5.7,0.1
2012-01-27,0.4,5.1,-0.4
2012-01-28,2.3,6,-1
2012-01-29,13,3,-0.5
2012-01-30,0.3,3,0
2012-01-31,0,2.9,0.3
2012-02-01,0,4.5,2
2012-02-02,0,2.5,-0.5
2012-02-03,0,2.8,-4.1
2012-02-04,0,2.8,-2.2
2012-02-05,1.7,6,-1
2012-02-06,0,6.7,0.7
2012-02-07,0.05,5.6,-0.5
2012-02-08,1.7,1,-5
2012-02-09,3.4,2.5,-3.5
2012-02-10,0.05,2.5,-0.5
2012-02-11,0.05,4.5,-0.5
2012-02-12,0.05,5.7,-0.5
2012-02-13,0,9.1,0.5
2012-02-14,0,9,3.2
2012-02-15,0,10.8,5.7
2012-02-16,0,8.8,3.4
2012-02-17,0.5,10,3.2
2012-02-18,0,6.5,3.2
2012-02-19,0,6.1,-1.5
2012-02-20,0,9,-0.3
2012-02-21,1.5,11.6,-0.7
2012-02-22,1.5,12.5,8.5
2012-02-23,0.05,13,9
